CountryGroup,Mean,Mean,Mean,Mean,Mean,Mean,Mean,Mean,Mean
,sd GDP,CommoditiesVA GDP,MfctVA GDP,ServicesVA GDP,XCommodities X,MCommodities M,MfctNX GDP,CommoditiesNX GDP,NX GDP
Developed,0.02251,0.14584,0.18769,0.66647,0.31079,0.29807,-0.00540,0.00011,-0.00529
Emerging,0.04229,0.33213,0.15283,0.51237,0.65507,0.33439,-0.10736,0.04015,-0.06721

CountryGroup,P25,P25,P25,P25,P25,P25,P25,P25,P25
,sd GDP,CommoditiesVA GDP,MfctVA GDP,ServicesVA GDP,XCommodities X,MCommodities M,MfctNX GDP,CommoditiesNX GDP,NX GDP
Developed,0.01718,0.12395,0.16509,0.64427,0.14371,0.23679,-0.05057,-0.03682,-0.02509
Emerging,0.02702,0.25003,0.11665,0.45778,0.46540,0.27481,-0.14826,-0.01607,-0.11635

CountryGroup,P75,P75,P75,P75,P75,P75,P75,P75,P75
,sd GDP,CommoditiesVA GDP,MfctVA GDP,ServicesVA GDP,XCommodities X,MCommodities M,MfctNX GDP,CommoditiesNX GDP,NX GDP
Developed,0.02532,0.17337,0.21352,0.69611,0.42024,0.34152,0.04288,0.02618,0.01746
Emerging,0.05432,0.39200,0.19191,0.56279,0.87367,0.39619,-0.06258,0.10139,-0.00782

